category,item_title,pdf_title,pdf_url,item_url
DRE / Instrumentos de Gestão,Relatório (2020),Relatório 2020,https://www.madeira.gov.pt/Portals/15/Users/049/05/305/Relat%C3%B3rio%20de%20execu%C3%A7%C3%A3o%20-%20PPRGCIC%202020.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6142/InformacaoId/90493/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Plano (2020),Plano PPRGCIC,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Plano%20e%20Relatorio%20de%20Gestao%20de%20Riscos%20e%20Corrupcao%20e%20Infracoes%20Conexas/PPRGCIC-2020.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6142/InformacaoId/55739/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Relatório (2019),Relatório de execução 2019 PPRGCIC,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Plano%20e%20Relatorio%20de%20Gestao%20de%20Riscos%20e%20Corrupcao%20e%20Infracoes%20Conexas/Relat%C3%B3rio%20de%20execu%C3%A7%C3%A3o_PPRGCIC_2019.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6142/InformacaoId/55738/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Plano (2019),PPRGCIC 2019,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Plano%20e%20Relatorio%20de%20Gestao%20de%20Riscos%20e%20Corrupcao%20e%20Infracoes%20Conexas/PPRGCIC%202019.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6142/InformacaoId/48843/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Relatório (2018),Relatório 2018,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Plano%20e%20Relatorio%20de%20Gestao%20de%20Riscos%20e%20Corrupcao%20e%20Infracoes%20Conexas/Relat%C3%B3rio%202018.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6142/InformacaoId/48707/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Código de Ética e Conduta 2024-2027,Código de Ética e Conduta 2024-2027,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Plano%20e%20Relatorio%20de%20Gestao%20de%20Riscos%20e%20Corrupcao%20e%20Infracoes%20Conexas/CodigoEticaConduta_10outubro.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6388/InformacaoId/220561/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Programa de Formação e Comunicação  para a Integridade 2024-2027,Programa de Formação e Comunicação  para a Integridade 2024-2027,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Plano%20e%20Relatorio%20de%20Gestao%20de%20Riscos%20e%20Corrupcao%20e%20Infracoes%20Conexas/2025_PlanoFormacaoComunicacaoIntegridade.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/16662/InformacaoId/225204/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Responsável pelo Cumprimento Normativo,Responsável pelo Cumprimento Normativo,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Plano%20e%20Relatorio%20de%20Gestao%20de%20Riscos%20e%20Corrupcao%20e%20Infracoes%20Conexas/Responsavel_Cumprimento_Normativo_atual.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/16663/InformacaoId/250657/UnidadeOrganicaId/32/CatalogoId/0
DRE / Recursos Humanos,SIADAP-RAM 2 - Dirigentes Intermédios,Despacho n.º 2/2025 - competências transversais cargos de direção intermédia,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/SIADAP/2025_DespachoN2-2025.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Recursos-Humanos/ctl/Read/mid/14819/InformacaoId/251244/UnidadeOrganicaId/32/CatalogoId/0
DRE / Recursos Humanos,Conselho Coordenador de Avaliação (CCA),Despacho Constituição CCA,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/SIADAP/2025_Despacho_N1_CCA_2025.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Recursos-Humanos/ctl/Read/mid/14819/InformacaoId/251246/UnidadeOrganicaId/32/CatalogoId/0
