publication_title,pdf_title,pdf_url,publication_url,publication_type,date
Revista Canal&tú - febrero 2021,Revista Canal&tú - febrero 2021,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista_Canal_Febrero+2021.pdf/9d77c04b-ed85-2aa9-84ba-acebd7d6538f,https://www.canaldeisabelsegunda.es/publicaciones,magazine,2017-10-01
Revista Canal&tú - diciembre 2020,Revista Canal&tú - diciembre 2020,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista_Canal_Diciembre2020.pdf/f96f2b44-048b-efee-781b-a8b806cecb6c,https://www.canaldeisabelsegunda.es/publicaciones,revista,2017-09-01
Revista Canal&tú - noviembre 2020,Revista Canal&tú - noviembre 2020,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista+Canal+noviembre.pdf/548bb969-9a75-bbf5-7f02-05374ffcfbe2,https://www.canaldeisabelsegunda.es/publicaciones,revista,2017-08-01
Revista Canal&tú - octubre 2020,Revista Canal&tú - octubre 2020,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista+Canal%26t%C3%BA_octubre_2020.pdf/8838b1e5-b38e-e1f5-da3f-2cbc3a07d9d2,https://www.canaldeisabelsegunda.es/publicaciones,revista,2017-07-01
Revista Canal&tú - septiembre 2020,Revista Canal&tú - septiembre 2020,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Canal%26tu_Septiembre+2020.pdf/ef100e9f-2d0a-9db6-2ac7-27a04c19ee0c,https://www.canaldeisabelsegunda.es/publicaciones,revista,2017-06-01
Revista Canal&tú - julio 2020,Revista Canal&tú - julio 2020,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista+Canal_Julio+2020.pdf/0988d98b-903f-d79e-0748-6d89c27eb900,https://www.canaldeisabelsegunda.es/publicaciones,revista,2017-05-01
Revista Canal&tú - Especial COVID19,Revista Canal&tú - Especial COVID19,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Canal+de+Isabel+II_Revista+COVID19.pdf/e5206134-da12-766a-a2dc-d502d0a40bbe,https://www.canaldeisabelsegunda.es/publicaciones,revista,2017-04-01
Revista Canal&tú - marzo 2020,Revista Canal&tú - marzo 2020,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista+marzo_2020_Canal%26t%C3%BA.pdf/4a989bab-4fd2-393a-8224-9f2d73733f8f,https://www.canaldeisabelsegunda.es/publicaciones,revista,2017-03-01
Revista Canal&tú - febrero 2020,Revista Canal&tú - febrero 2020,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista+febrero+2020.pdf/9efa52d2-9f99-2b67-a126-671f0adb20bd,https://www.canaldeisabelsegunda.es/publicaciones,revista,2017-02-01
Revista Canal&tú - enero 2020,Revista Canal&tú - enero 2020,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista_enero_2020.pdf/960eebba-7480-2d56-c857-20ea49bcead9,https://www.canaldeisabelsegunda.es/publicaciones,revista,2017-01-01
