category,title,pdf_url,source_url,date
Câmara Municipal / Atas,Ata Número 16/2024 de 24 de abril de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024_04_24.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 15/2024 de 18 de abril de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ata_15_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 14/2024 de 11 de abril de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ata_14_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 13/2024 de 3 de abril de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ata_13_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 12/2024 de 27 de março de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ata_12_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 11/2024 de 21 de março de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024_03_21.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 10/2024 de 14 de março de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ata_10_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 09/2024 de 07 de março de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ata_09_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 08/2024 de 29 de fevereiro de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ata_08_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 07/2024 de 22 de fevereiro de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ata_07_2024_2.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
